제목,영상 ID,업로드 날짜,썸네일 URL,영상 길이,조회수,자막 파일
동물로 탑 쌓는 게임ㅋㅋ 일본 고인물들 파괴하기 개꿀잼,CAQMKSWpFfs,2024-10-17T02:30:06Z,https://i.ytimg.com/vi/CAQMKSWpFfs/hqdefault.jpg,0:24:55,573260,captions\CAQMKSWpFfs.txt
모르면 죽을 수밖에 없는 터널 (공포게임/Parasite Tunnel),gDiiKV9Q1Zc,2025-05-04T12:45:04Z,https://i.ytimg.com/vi/gDiiKV9Q1Zc/hqdefault.jpg,0:22:20,140947,captions\gDiiKV9Q1Zc.txt
"※시간 순삭※ 낮엔 농사꾼, 밤에는 좀비 잡는 게임...중독성 미침;",xAguBIBln7Q,2025-01-06T10:37:38Z,https://i.ytimg.com/vi/xAguBIBln7Q/hqdefault.jpg,0:34:19,1193357,captions\xAguBIBln7Q.txt
범죄현장 청소하는 게임..역대급으로 큰 대저택 혼자 청소ㄷㄷ,2JMhyB7IJDQ,2024-10-20T10:37:11Z,https://i.ytimg.com/vi/2JMhyB7IJDQ/hqdefault.jpg,0:37:34,656389,captions\2JMhyB7IJDQ.txt
생방송중 실수로 얼굴공개가 됐다..[파라소셜 공포게임],vhbeYodV6Ng,2023-09-01T09:05:41Z,https://i.ytimg.com/vi/vhbeYodV6Ng/hqdefault.jpg,0:59:09,1971376,captions\vhbeYodV6Ng.txt
고양이 마리오보다 120배 더 빡치는 게임이 나왔습니다.,8dM44QiNnnU,2024-06-22T10:17:00Z,https://i.ytimg.com/vi/8dM44QiNnnU/hqdefault.jpg,0:22:48,768119,captions\8dM44QiNnnU.txt
손톱을 예쁘게 꾸며드립니다! 모바일게임 Nail Salon 3D,xBoG3jnT5SY,2023-09-22T23:54:31Z,https://i.ytimg.com/vi/xBoG3jnT5SY/hqdefault.jpg,0:24:24,733027,captions\xBoG3jnT5SY.txt
이 미친 게임이 2탄이 나왔다고?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,FEbBvP2mdsg,2025-01-05T10:25:00Z,https://i.ytimg.com/vi/FEbBvP2mdsg/hqdefault.jpg,0:21:58,728687,captions\FEbBvP2mdsg.txt
"현재 일본에서 난리인 ""그냥 사진 찍으면 되는 공포게임""  [칠라스아트 저주받은 카메라]",w8VcBPDNKjw,2025-01-24T10:26:00Z,https://i.ytimg.com/vi/w8VcBPDNKjw/hqdefault.jpg,0:34:39,447065,captions\w8VcBPDNKjw.txt
공포게임은 뉴비들이랑 해야되는 이유 😳,VxQOAgIz3Jc,2025-05-07T12:23:16Z,https://i.ytimg.com/vi/VxQOAgIz3Jc/hqdefault.jpg,0:38:20,58294,captions\VxQOAgIz3Jc.txt
시간이 지날수록 밝혀지는 진실들 (공포게임/Home_0),uGIWwhI79HE,2024-11-23T12:53:59Z,https://i.ytimg.com/vi/uGIWwhI79HE/hqdefault.jpg,0:36:52,299433,captions\uGIWwhI79HE.txt
