video_id,reason
dA2ZbMZb4j0,list_error: '_TranslationLanguage' object is not subscriptable
4meCCJC6hUA,video_unavailable
XFv_USWLrZM,list_error: '_TranslationLanguage' object is not subscriptable
f8iqanT2zFw,list_error: '_TranslationLanguage' object is not subscriptable
sKJzW_EK8ms,video_unavailable
0FToZEoOQkI,video_unavailable
Dw7lNI_a1Ew,video_unavailable
HJkRwA0YXF0,video_unavailable
AQQPN2a_fmk,video_unavailable
KbZ8gav3tGo,video_unavailable
PmAXGE6fe_M,video_unavailable
zKG3fsQ-h0c,list_error: '_TranslationLanguage' object is not subscriptable
OHHmjRfMjZg,list_error: '_TranslationLanguage' object is not subscriptable
C9attA-zhCc,video_unavailable
r8oZhWDZSFE,video_unavailable
Lx6R_iQ92So,list_error: '_TranslationLanguage' object is not subscriptable
YlgK6dTRS08,video_unavailable
bKo5mOM6ekQ,list_error: '_TranslationLanguage' object is not subscriptable
BwTKGBv9Biw,list_error: '_TranslationLanguage' object is not subscriptable
xkwrLusSzAQ,list_error: '_TranslationLanguage' object is not subscriptable
vyM80FKpJEo,list_error: '_TranslationLanguage' object is not subscriptable
awyexIx8Kcw,list_error: '_TranslationLanguage' object is not subscriptable
s2eTnoN34bo,list_error: '_TranslationLanguage' object is not subscriptable
rTCxe4k0yZs,list_error: '_TranslationLanguage' object is not subscriptable
m8i2GRoElV0,list_error: '_TranslationLanguage' object is not subscriptable
r5jjAWFXzAg,video_unavailable
hL6OpATz2jk,list_error: '_TranslationLanguage' object is not subscriptable
anP-ZpCzN5w,list_error: '_TranslationLanguage' object is not subscriptable
lOVgrCCrkEU,video_unavailable
c5Ts2nS_jGA,video_unavailable
2rYpf35MEwM,list_error: '_TranslationLanguage' object is not subscriptable
rOhj3LLwybE,list_error: '_TranslationLanguage' object is not subscriptable
hjNScdOmX2k,video_unavailable
x7bsVz34EMk,list_error: '_TranslationLanguage' object is not subscriptable
JvvicR1AwP4,video_unavailable
VFCpOInpJPo,list_error: '_TranslationLanguage' object is not subscriptable
uTgKMAMhB18,list_error: '_TranslationLanguage' object is not subscriptable
jtfOqyUSnR4,video_unavailable
CCX6_rH3MUk,list_error: '_TranslationLanguage' object is not subscriptable
raTA1HzmqBQ,video_unavailable
YG5vwmt2tu0,video_unavailable
XGzLvRkFmAc,video_unavailable
rgvc2E5x0wY,video_unavailable
EWCBtIF3rTc,video_unavailable
mJitxekMVew,video_unavailable
X5UCYRgf9KI,list_error: '_TranslationLanguage' object is not subscriptable
V-H5CVuBm8k,list_error: '_TranslationLanguage' object is not subscriptable
8MuxI5AXPyA,video_unavailable
LEo79CgcuOM,list_error: '_TranslationLanguage' object is not subscriptable
ceH-Daon-Ys,video_unavailable
IheOq09kHnc,list_error: '_TranslationLanguage' object is not subscriptable
jiIb3ntZCss,list_error: '_TranslationLanguage' object is not subscriptable
q1Vl2a1htdk,list_error: '_TranslationLanguage' object is not subscriptable
jtEvYO986kk,list_error: '_TranslationLanguage' object is not subscriptable
GPUbdoWhZQw,video_unavailable
r8y_C-M9IYI,video_unavailable
wBcaBQW7kfI,video_unavailable
W3aUiLCjGGg,list_error: '_TranslationLanguage' object is not subscriptable
Pq6TmB4EgbM,video_unavailable
m9nhYp7YEYc,video_unavailable
jInidADYl_4,video_unavailable
r6uSxUGlp-k,list_error: '_TranslationLanguage' object is not subscriptable
SItxlZEcbyw,video_unavailable
NrAHiF97WIA,list_error: '_TranslationLanguage' object is not subscriptable
yl-i4duGkqg,video_unavailable
cjg32pytNOo,video_unavailable
L1zuZeYvAmE,list_error: '_TranslationLanguage' object is not subscriptable
7xPuhRFR41s,video_unavailable
Yeb8nymKuZc,video_unavailable
AyYnUEAOZIg,list_error: '_TranslationLanguage' object is not subscriptable
wBr5QAGheYE,list_error: '_TranslationLanguage' object is not subscriptable
6boe10e2FlY,video_unavailable
XPuu-10vE7A,list_error: '_TranslationLanguage' object is not subscriptable
vka8G-7pSyo,list_error: '_TranslationLanguage' object is not subscriptable
rhE7tf931XU,video_unavailable
JhR6OWGiANU,video_unavailable
GUYp5xOO0OU,list_error: '_TranslationLanguage' object is not subscriptable
Hb8UYptqIp4,list_error: '_TranslationLanguage' object is not subscriptable
S2qa8_h609Q,video_unavailable
bLDQjI1DB1w,video_unavailable
